,file_path,sentence,section,0,0_span,weight_0,1,1_span,weight_1
23160,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"↩   Duke, N.C. et al., 2017: Large-scale dieback of mangroves in Australia’s Gulf of Carpentaria: a severe ecosystem response, coincidental with an unusually extreme weather event.",HTML,Australia,"(65, 74)",1,weather,"(166, 173)",1
23339,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Barbour, 2018: Risks of pre-monsoon extreme rainfall events of Bangladesh: Is anthropogenic climate change playing a role?",HTML,Bangladesh,"(63, 73)",1,"anthropogenic, anthropogenic climate change","(78, 91), (78, 106)",2
23402,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Woodruff, 2013: Reconstructing mid-late Holocene cyclone variability in the Central Pacific using sedimentary records from Tahaa, French Polynesia.",HTML,French Polynesia,"(130, 146)",1,Holocene,"(40, 48)",1
23838,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"et al., 2014: Quantifying storm tide risk in Fiji due to climate variability and change.",HTML,Fiji,"(45, 49)",1,climate variability,"(57, 76)",1
24750,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Lee, K.-T. Lee and K.-T. Shao, 2013: Adaptation of fisheries and mariculture management to extreme oceanic environmental changes and climate variability in Taiwan.",HTML,Taiwan,"(156, 162)",1,climate variability,"(133, 152)",1
26397,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"Sánchez, 2017: Integrating local knowledge for climate change adaptation in Yucatán, Mexico.",HTML,Mexico,"(85, 91)",1,adaptation,"(62, 72)",1
26792,/content/ipcc/srocc_chap_06/sections/fulltext.flow.html,"↩   Haasnoot, M. et al., 2015: Transient scenarios for robust climate change adaptation illustrated for water management in The Netherlands.",HTML,Netherlands,"(128, 139)",1,adaptation,"(77, 87)",1
29215,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"For example, in an survey ranking mitigation and adaptation responses in Greece, tourists prioritised rational energy use, energy efficiency and water saving measures (Michailidou et al., 2016b).",HTML,Greece,"(73, 79)",1,adaptation,"(49, 59)",1
29217,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"In one example from the Thailand dive industry, climate change adaptation responses of participants were reported to be based on misconceptions about climate change and personal observations (Tapsuwan and Rongrongmuang, 2015).",HTML,Thailand,"(24, 32)",1,adaptation,"(63, 73)",1
31661,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Chapman, A. and S. Darby, 2016: Evaluating sustainable adaptation strategies for vulnerable mega-deltas using system dynamics modelling: Rice agriculture in the Mekong Delta’s An Giang Province, Vietnam.",HTML,Vietnam,"(199, 206)",1,adaptation,"(59, 69)",1
34619,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Gland, Switzerland: IUCN,105-210.",HTML,Switzerland,"(7, 18)",1,IUCN,"(20, 24)",1
34860,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,", 456 pp, IUCN, Gland, Switzerland, ISBN: 978-8317-1806-4  ↩   Glibert, P.M. et al., 2018: Key Questions and Recent Research Advances on Harmful Algal Blooms in Relation to Nutrients and Eutrophication.",HTML,Switzerland,"(24, 35)",1,IUCN,"(11, 15)",1
35559,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Wabnitz, C.C.C., A.M. Cisneros-Montemayor, Q. Hanich and Y. Ota, 2017: Ecotourism, climate change and reef fish consumption in Palau: Benefits, trade-offs and adaptation strategies.",HTML,Palau,"(131, 136)",1,adaptation,"(163, 173)",1
35983,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Aziz, A.A., S. Thomas, P. Dargusch and S. Phinn, 2016: Assessing the potential of REDD+ in a production mangrove forest in Malaysia using stakeholder analysis and ecosystem services mapping.",HTML,Malaysia,"(127, 135)",1,ecosystem services,"(167, 185)",1
36013,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Gland, Switzerland: IUCN and Washington, DC, USA: TNC.",HTML,Switzerland,"(7, 18)",1,IUCN,"(20, 24)",1
36294,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Duke, N.C. et al., 2017: Large-scale dieback of mangroves in Australia’s Gulf of Carpentaria: a severe ecosystem response, coincidental with an unusually extreme weather event.",HTML,Australia,"(65, 74)",1,weather,"(166, 173)",1
36682,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Broto, V.C., E. Boyd and J. Ensor, 2015: Participatory urban planning for climate change adaptation in coastal cities: lessons from a pilot experience in Maputo, Mozambique.",HTML,Mozambique,"(166, 176)",1,adaptation,"(93, 103)",1
37537,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Verocai and M. Bidegain, 2014: Stakeholders’ climate perception and adaptation in coastal Uruguay.",HTML,Uruguay,"(90, 97)",1,adaptation,"(68, 78)",1
37539,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Broto, V.C., E. Boyd and J. Ensor, 2015: Participatory urban planning for climate change adaptation in coastal cities: lessons from a pilot experience in Maputo, Mozambique.",HTML,Mozambique,"(166, 176)",1,adaptation,"(93, 103)",1
37544,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Marfai, M.A., A. Sekaranom and P. Ward, 2015: Community responses and adaptation strategies toward flood hazard in Jakarta, Indonesia.",HTML,Indonesia,"(128, 137)",1,adaptation,"(74, 84)",1
37571,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"and L. Khirfan, 2016: Community-based adaptation through ecological design: lessons from Negril, Jamaica.",HTML,Jamaica,"(97, 104)",1,adaptation,"(38, 48)",1
37589,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"and L. Khirfan, 2016: Community-based adaptation through ecological design: lessons from Negril, Jamaica.",HTML,Jamaica,"(97, 104)",1,adaptation,"(38, 48)",1
37635,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"International Journal of Environment and Sustainability IJES, 6(2), 19-39 ISSN 1927-9566  ↩   Marfai, M.A., A. Sekaranom and P. Ward, 2015: Community responses and adaptation strategies toward flood hazard in Jakarta, Indonesia.",HTML,Indonesia,"(220, 229)",1,adaptation,"(166, 176)",1
37643,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Jamero, M.L., M. Onuki, M. Esteban and N. Tan, 2018: Community-based adaptation in low-lying islands in the Philippines: challenges and lessons learned.",HTML,Philippines,"(112, 123)",1,adaptation,"(73, 83)",1
37664,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"and L. Khirfan, 2016: Community-based adaptation through ecological design: lessons from Negril, Jamaica.",HTML,Jamaica,"(97, 104)",1,adaptation,"(38, 48)",1
37667,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Jamero, M.L., M. Onuki, M. Esteban and N. Tan, 2018: Community-based adaptation in low-lying islands in the Philippines: challenges and lessons learned.",HTML,Philippines,"(112, 123)",1,adaptation,"(73, 83)",1
37719,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"León, 2016: Uneven socioecologies of Hispaniola: Asymmetric capabilities for climate adaptation in Haiti and the Dominican Republic.",HTML,"Haiti, Dominican Republic","(99, 104), (113, 131)",2,adaptation,"(85, 95)",1
37752,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Debner, 2016: Climate adaptation in ‘new world’ cultural landscapes: The case of Bay of Fundy agricultural dykelands (Nova Scotia, Canada).",HTML,Canada,"(131, 137)",1,adaptation,"(22, 32)",1
37786,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"IAARC Publications, Australia, 31, 1.ISBN: 978-0-64-659711-9  ↩   Friedrich, E. and D. Kretzinger, 2012: Vulnerability of wastewater infrastructure of coastal cities to sea level rise: A South African case study.",HTML,Australia,"(20, 29)",1,sea level rise,"(169, 183)",1
37865,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Islam, M.M., S. Sallu, K. Hubacek and J. Paavola, 2013: Vulnerability of fishery-based livelihoods to the impacts of climate variability and change: insights from coastal Bangladesh.",HTML,Bangladesh,"(175, 185)",1,climate variability,"(121, 140)",1
37903,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Chen, 2016: Economic impacts of climate change and climate change adaptation strategies in Vanuatu and Timor-Leste.",HTML,Vanuatu,"(91, 98)",1,adaptation,"(66, 76)",1
38058,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Diana, 2015a: Coastal to inland: Expansion of prawn farming for adaptation to climate change in Bangladesh.",HTML,Bangladesh,"(96, 106)",1,adaptation,"(64, 74)",1
38203,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Serrao-Neumann, S. et al., 2013: Improving cross-sectoral climate change adaptation for coastal settlements: insights from South East Queensland, Australia.",HTML,Australia,"(150, 159)",1,adaptation,"(77, 87)",1
38261,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Serrao-Neumann, S. et al., 2013: Improving cross-sectoral climate change adaptation for coastal settlements: insights from South East Queensland, Australia.",HTML,Australia,"(150, 159)",1,adaptation,"(77, 87)",1
38268,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Kuhfuss, L. et al., 2016: Evaluating the impacts of sea level rise on coastal wetlands in Languedoc-Roussillon, France.",HTML,France,"(116, 122)",1,sea level rise,"(56, 70)",1
38282,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Islam, M.M., S. Sallu, K. Hubacek and J. Paavola, 2013: Vulnerability of fishery-based livelihoods to the impacts of climate variability and change: insights from coastal Bangladesh.",HTML,Bangladesh,"(175, 185)",1,climate variability,"(121, 140)",1
38314,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Chapman, A. and S. Darby, 2016: Evaluating sustainable adaptation strategies for vulnerable mega-deltas using system dynamics modelling: Rice agriculture in the Mekong Delta’s An Giang Province, Vietnam.",HTML,Vietnam,"(199, 206)",1,adaptation,"(59, 69)",1
38485,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"et al., 2016: How climate compatible are livelihood adaptation strategies and development programs in rural Indonesia?",HTML,Indonesia,"(108, 117)",1,adaptation,"(52, 62)",1
38512,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"et al., 2016: How climate compatible are livelihood adaptation strategies and development programs in rural Indonesia?",HTML,Indonesia,"(108, 117)",1,adaptation,"(52, 62)",1
38542,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Sánchez, 2017: Integrating local knowledge for climate change adaptation in Yucatán, Mexico.",HTML,Mexico,"(85, 91)",1,adaptation,"(62, 72)",1
38563,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Alam, G.M.M., K. Alam and S. Mushtaq, 2016: Influence of institutional access and social capital on adaptation decision: Empirical evidence from hazard-prone rural households in Bangladesh.",HTML,Bangladesh,"(182, 192)",1,adaptation,"(104, 114)",1
38570,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Sánchez, 2017: Integrating local knowledge for climate change adaptation in Yucatán, Mexico.",HTML,Mexico,"(85, 91)",1,adaptation,"(62, 72)",1
38599,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Chen, 2016: Economic impacts of climate change and climate change adaptation strategies in Vanuatu and Timor-Leste.",HTML,Vanuatu,"(91, 98)",1,adaptation,"(66, 76)",1
38825,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"301–323.ISBN: 978-3-319-64599-5  ↩   Islam, M.M., S. Sallu, K. Hubacek and J. Paavola, 2013: Vulnerability of fishery-based livelihoods to the impacts of climate variability and change: insights from coastal Bangladesh.",HTML,Bangladesh,"(208, 218)",1,climate variability,"(154, 173)",1
38847,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"↩   Islam, M.M., S. Sallu, K. Hubacek and J. Paavola, 2013: Vulnerability of fishery-based livelihoods to the impacts of climate variability and change: insights from coastal Bangladesh.",HTML,Bangladesh,"(175, 185)",1,climate variability,"(121, 140)",1
38919,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Hasson, 2015: Climate change vulnerability and adaptation options for the coastal communities of Pakistan.",HTML,Pakistan,"(97, 105)",1,adaptation,"(47, 57)",1
39056,/content/ipcc/srocc_chap_05/sections/fulltext.flow.html,"Sánchez, 2017: Integrating local knowledge for climate change adaptation in Yucatán, Mexico.",HTML,Mexico,"(85, 91)",1,adaptation,"(62, 72)",1
39227,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"Current snowmaking technologies are projected to be less effective in a warmer climate in reducing risks to ski tourism in most parts of Europe, North America and Japan, in particular at 2°C global warming and beyond (high confidence).",HTML,Japan,"(163, 168)",1,global warming ,"(191, 206)",1
39414,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"It was estimated that the anthropogenic fraction of mass loss of all glaciers outside Greenland and Antarctica increased from 25 ± 35% during 1851–2010 to 69 ± 24% during 1991–2010 (Marzeion et al., 201482).",HTML,Greenland,"(86, 95)",1,anthropogenic,"(26, 39)",1
39725,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"In contrast, fewer adaptation measures have been adopted in Uzbekistan, due to low levels of capital availability and to agricultural policies, including centralised water management, crop production quotas and weak agricultural extension, which limit the response capacity of farmers (Aleksandrova et al., 2014381).",HTML,Uzbekistan,"(60, 70)",1,adaptation,"(19, 29)",1
39997,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"In Bhutan, snowlines have ascended and new plant species have established themselves in these areas, yet despite range expansion and increased productivity, yak herders describe impacts on the ecosystem services as mostly negative (Wangchuk and Wangdi, 2018739).",HTML,Bhutan,"(3, 9)",1,ecosystem services,"(193, 211)",1
40120,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"Note that for regions with less than five reported adaptation measures were excluded from the figure (i.e., Caucasus, Iceland and Alaska), however these are detailed in Table SM2.9.",HTML,Iceland,"(118, 125)",1,adaptation,"(51, 61)",1
41624,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"↩   Young, G. et al., 2010: Vulnerability and adaptation in a dryland community of the Elqui Valley, Chile.",HTML,Chile,"(101, 106)",1,adaptation,"(46, 56)",1
41662,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"Maraseni, 2012: Climate change, poverty and livelihoods: adaptation practices by rural mountain communities in Nepal.",HTML,Nepal,"(111, 116)",1,adaptation,"(57, 67)",1
41674,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"↩   Young, G. et al., 2010: Vulnerability and adaptation in a dryland community of the Elqui Valley, Chile.",HTML,Chile,"(101, 106)",1,adaptation,"(46, 56)",1
42228,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"↩   Bellaire, S. et al., 2016: Analysis of long-term weather, snow and avalanche data at Glacier National Park, B.C., Canada.",HTML,Canada,"(118, 124)",1,weather,"(53, 60)",1
42283,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"↩   Buckel, J., J.C. Otto, G. Prasicek and M. Keuschnig, 2018: Glacial lakes in Austria – Distribution and formation since the Little Ice Age.",HTML,Austria,"(80, 87)",1,Little Ice Age,"(127, 141)",1
42447,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"↩   Menounos, B. et al., 2013: Did rock avalanche deposits modulate the late Holocene advance of Tiedemann Glacier, southern Coast Mountains, British Columbia, Canada?",HTML,Canada,"(160, 166)",1,Holocene,"(77, 85)",1
42638,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"et al., 2018: Translating the concept of climate risk into an assessment framework to inform adaptation planning: Insights from a pilot study of flood risk in Himachal Pradesh, Northern India.",HTML,India,"(186, 191)",1,adaptation,"(93, 103)",1
42690,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"et al., 2018: Translating the concept of climate risk into an assessment framework to inform adaptation planning: Insights from a pilot study of flood risk in Himachal Pradesh, Northern India.",HTML,India,"(186, 191)",1,adaptation,"(93, 103)",1
43964,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"Maraseni, 2012: Climate change, poverty and livelihoods: adaptation practices by rural mountain communities in Nepal.",HTML,Nepal,"(111, 116)",1,adaptation,"(57, 67)",1
44034,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"↩   Prasain, S., 2018: Climate change adaptation measure on agricultural communities of Dhye in Upper Mustang, Nepal.",HTML,Nepal,"(111, 116)",1,adaptation,"(38, 48)",1
44050,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"↩   Banerjee, S., R. Black, A. Mishra and D. Kniveton, 2018: Assessing vulnerability of remittance-recipient and non-recipient households in rural communities affected by extreme weather events: Case studies from south-west China and northeast India.",HTML,India,"(244, 249)",1,weather,"(179, 186)",1
44067,/content/ipcc/srocc_chap_02/sections/fulltext.flow.html,"↩   Prasain, S., 2018: Climate change adaptation measure on agricultural communities of Dhye in Upper Mustang, Nepal.",HTML,Nepal,"(111, 116)",1,adaptation,"(38, 48)",1
